,principal component 1
0,-4.811345090731028
1,-4.721898015720608
2,-4.701477186951833
3,-4.633810290906011
4,-4.570644787643174
5,-4.559024910633588
6,-4.548118253728678
7,-4.542641435785682
8,-4.539956007359336
9,-4.518344112897922
10,-4.499006199174922
11,-4.463969807692769
12,-4.453552248357983
13,-4.415169968632389
14,-4.4004324716002055
15,-4.378456123051482
16,-4.364665931622994
17,-4.358980323541354
18,-4.345163499396106
19,-4.315129166260018
20,-4.310567803078309
21,-4.276780434921422
22,-4.174135599976916
23,-4.172687199880003
24,-4.156289414347048
25,-4.13700537185683
26,-4.0520927103523325
27,-4.033307438952923
28,-3.939812621526673
29,-3.9235682970301577
30,-3.869743634845536
31,-3.84142755467232
32,-3.780955407224449
33,-3.704096581188915
34,-3.6963396547233285
35,-3.6717834542721848
36,-3.66694961250415
37,-3.6633418201503725
38,-3.638629457514954
39,-3.611785316450142
40,-3.599357935838055
41,-3.5924461946373363
42,-3.5727836745501143
43,-3.562142121750085
44,-3.5541459404517384
45,-3.535142621205098
46,-3.518067806728363
47,-3.5159279705076703
48,-3.496439506659705
49,-3.474436504579863
50,-3.461093998103549
51,-3.4445930439667505
52,-3.439148861100355
53,-3.427592233941562
54,-3.4204516234513074
55,-3.3701226049725514
56,-3.359846978777769
57,-3.3513976773210006
58,-3.3398943945286037
59,-3.315788746475057
60,-3.206090191935212
61,-3.0769384260632258
62,-3.044231660209464
63,-3.0221053502452255
64,-3.01115300707955
65,-3.0032524058955223
66,-2.953781123828545
67,-2.8660141248648623
68,-2.720835189767949
69,-2.6849500251518172
70,-2.6581922630271246
71,-2.6443041175681814
72,-2.6059308427903765
73,-2.58921328063905
74,-2.556048341899149
75,-2.548108390450127
76,-2.5293546035291494
77,-2.511504585766113
78,-2.5089635425908257
79,-2.471699281233429
80,-2.4388499810873374
81,-2.3838432061092605
82,-2.3773712697424108
83,-2.3671271559992992
84,-2.350017885567648
85,-2.3454242734510076
86,-2.3373676749525267
87,-2.3262684937125453
88,-2.3181674780528714
89,-2.3165399074285284
90,-2.2494438111975033
91,-2.3310020056803262
92,-2.1590697065857354
93,-2.1485593833658467
94,-2.146946252651551
95,-2.0721214923896976
96,-2.0605264489617614
97,-2.0522318992147404
98,-2.0387219943494377
99,-1.9865060521547409
100,-1.962014244373306
101,-1.9410701172359552
102,-1.9099185160978092
103,-1.8911404264084957
104,-1.8139481381443756
105,-1.7956872005315097
106,-1.7769667409673924
107,-1.6855704011932582
108,-1.676064782682494
109,-1.6557471998863844
110,-1.6522401534944986
111,-1.5984748841101106
112,-1.5893356361434368
113,-1.56771248349544
114,-1.529357323533779
115,-1.5159084044384645
116,-1.5045308694490704
117,-1.4962846899936002
118,-1.4864675321701375
119,-1.4385287913875573
120,-1.4096155216731356
121,-1.396587086672002
122,-1.3680454463109482
123,-1.3512263483697882
124,-1.340891822537256
125,-1.314092864513836
126,-1.2850456750987316
127,-1.260446488894574
128,-1.255240935009236
